eng_dep_surp,zh_dep_surp,
5.452006,6.1990705,0.7470645
3.87215,5.455248,1.583098
4.784391,1.7639184,-3.0204726
3.1279786,5.9348183,2.8068397
4.769674,3.498713,-1.270961
8.590956,4.236662,-4.354294
4.2176404,2.5683515,-1.6492889
4.069137,2.6120026,-1.4571344
3.2602108,5.301495,2.0412842
5.9956594,6.5526805,0.5570211
3.7473602,5.955969,2.2086088
3.6519856,4.433609,0.7816234
4.4103928,3.775039,-0.6353538
0.553689,4.855775,4.302086
4.2957273,6.1155834,1.8198561
3.4891176,2.9200006,-0.569117
6.364901,6.146909,-0.217992
3.6166916,6.029768,2.4130764
2.2328298,5.044732,2.8119022
3.837562,5.867935,2.030373
1.7799249,2.6500092,0.8700843
3.7478285,3.904954,0.1571255
2.7127717,5.1989093,2.4861376
4.8843017,1.6022109,-3.2820908
4.9775486,6.4697857,1.4922371
3.0675979,4.6307087,1.5631108
5.9794664,5.874576,-0.1048904
5.3505554,5.3421507,-0.0084047
3.312749,5.777278,2.464529
2.9476123,5.777278,2.8296657
4.8843017,1.6022109,-3.2820908
4.2969985,4.9041195,0.607121
4.2031517,6.228681,2.0255293
4.9060388,4.8929443,-0.0130945
6.4193473,3.7081425,-2.7112048
4.5475783,6.4697857,1.9222074
5.7049494,1.658982,-4.0459674
4.697758,5.4465714,0.7488134
2.8390574,5.9818206,3.1427632
5.3947554,5.9818206,0.5870652
6.1118617,4.4741154,-1.6377463
3.6582367,3.189907,-0.4683297
3.4180636,2.4226494,-0.9954142
3.4180636,2.4226494,-0.9954142
4.4526043,4.826582,0.3739777
2.665349,6.1155834,3.4502344
1.9119033,4.5835314,2.6716281
3.6236255,4.995695,1.3720695
3.7686446,2.4226494,-1.3459952
3.7686446,5.2376013,1.4689567
3.910269,5.9348183,2.0245493
6.008259,3.545892,-2.462367
4.407085,5.9818206,1.5747356
5.165313,3.5300388,-1.6352742
3.7149053,3.858526,0.1436207
4.425539,3.0409582,-1.3845808
3.3146439,2.1189625,-1.1956814
3.3719335,5.7886634,2.4167299
5.2264113,6.228681,1.0022697
6.5270786,2.1080432,-4.4190354
4.055254,6.147399,2.092145
4.0467715,3.4189012,-0.6278703
4.513373,3.594274,-0.919099
6.3339806,3.4189012,-2.9150794
4.4532323,4.6809225,0.2276902
3.285917,5.1305466,1.8446296
3.6523776,4.3733454,0.7209678
5.3505554,6.1155834,0.765028
2.2233918,4.120096,1.8967042
4.0222,5.828537,1.806337
5.7049494,3.8856115,-1.8193379
3.9111161,5.2875443,1.3764282
4.697758,5.9348183,1.2370603
3.9653344,5.4948006,1.5294662
7.650923,3.176984,-4.473939
6.3880234,3.8559983,-2.5320251
7.0128345,6.1990705,-0.813764
4.1318703,3.651573,-0.4802973
6.0429816,6.071141,0.0281594
4.1596603,6.1155834,1.9559231
4.2371154,4.5462027,0.3090873
3.7130225,1.5833067,-2.1297158
2.9658184,5.1383114,2.172493
4.769674,5.6755657,0.9058917
3.7686446,3.3087442,-0.4599004
4.8874907,6.1990705,1.3115798
4.0285425,3.3041523,-0.7243902
4.697758,6.029768,1.33201
3.9833424,2.6317625,-1.3515799
4.0006986,3.775039,-0.2256596
2.2404108,3.9911828,1.750772
4.769674,6.147399,1.377725
3.2648294,4.232131,0.9673016
6.2776194,4.653243,-1.6243764
4.6409736,3.6412761,-0.9996975
2.9658184,2.342572,-0.6232464
6.052071,5.597377,-0.454694
4.555505,5.2450094,0.6895044
4.0837164,6.4697857,2.3860693
4.165907,2.1080432,-2.0578638
4.355915,3.7958946,-0.5600204
5.9345765,6.1155834,0.1810069
3.2340305,5.404624,2.1705935
3.7686446,3.3087442,-0.4599004
4.838878,2.4226494,-2.4162286
3.2086906,6.1990705,2.9903799
7.2595973,6.1155834,-1.1440139
3.4180636,2.4226494,-0.9954142
4.057272,3.2157214,-0.8415506
2.8392863,1.9999878,-0.8392985
7.0133834,5.867935,-1.1454484
4.300277,3.5822,-0.718077
3.3977559,3.107127,-0.2906289
4.2182517,6.228681,2.0104293
6.3652053,3.0714371,-3.2937682
5.126478,4.042301,-1.084177
6.9050264,5.9348183,-0.9702081
2.6402147,6.1155834,3.4753687
4.4155836,4.308516,-0.1070676
3.534127,6.146909,2.612782
4.2371154,1.2628695,-2.9742459
5.6665645,0.835064,-4.8315005
4.4155836,4.6809225,0.2653389
4.769674,5.7690144,0.9993404
2.5664496,4.443904,1.8774544
6.2776194,4.9258785,-1.3517409
4.2899547,6.1155834,1.8256287
4.699499,3.9361925,-0.7633065
4.321784,4.6307087,0.3089247
4.702864,5.855335,1.152471
3.6426136,4.6307087,0.9880951
4.372473,5.0820637,0.7095907
2.4648993,2.90321,0.4383107
4.838878,2.4226494,-2.4162286
3.312749,2.5956144,-0.7171346
3.9870133,5.6963525,1.7093392
5.0878115,5.955969,0.8681575
